Date,Open,High,Low,Close,Adj Close,Volume
2014-09-03,19.177999,19.200001,18.673332,18.746000,18.746000,101584500
2014-09-04,18.934000,19.427999,18.693333,19.069332,19.069332,125125500
2014-09-05,18.836666,18.860001,18.167334,18.492666,18.492666,167548500
2014-09-08,18.507999,18.992001,18.501333,18.807333,18.807333,82524000
2014-09-09,18.865999,19.032667,18.466667,18.565332,18.565332,68382000
2014-09-10,18.633333,18.760668,18.243999,18.740000,18.740000,56719500
2014-09-11,18.697332,18.986000,18.575333,18.687332,18.687332,56491500
2014-09-12,18.700001,18.826000,18.466667,18.613333,18.613333,49869000
2014-09-15,18.291332,18.293333,16.608667,16.924000,16.924000,246831000
2014-09-16,17.010000,17.497334,16.827999,17.382668,17.382668,124501500
2014-09-17,17.493999,17.646667,17.299999,17.425333,17.425333,77665500
2014-09-18,17.557333,17.706667,17.488001,17.587999,17.587999,55389000
2014-09-19,17.199333,17.428667,17.018000,17.288000,17.288000,102163500
2014-09-22,17.000000,17.068001,16.313999,16.668667,16.668667,123211500
2014-09-23,16.348000,16.920000,16.333332,16.694000,16.694000,84880500
2014-09-24,16.741333,16.856001,16.469334,16.809334,16.809334,56242500
2014-09-25,16.834667,16.997334,16.406668,16.463333,16.463333,72513000
2014-09-26,16.549999,16.648666,16.404667,16.440001,16.440001,56931000
2014-09-29,16.266666,16.576000,16.091999,16.350668,16.350668,72790500
2014-09-30,16.461332,16.510000,16.007999,16.178667,16.178667,63574500
2014-10-01,16.146667,16.177334,15.710000,16.016001,16.016001,89125500
2014-10-02,16.680000,16.852667,16.357332,16.761333,16.761333,134973000
